
[ERR] Failed to insert documents to DB (1850096, 1850181): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1850182, 1850267): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1850354, 1850439): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1850440, 1850525): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1850526, 1850611): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1850612, 1850697): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1850784, 1850869): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1850698, 1850783): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1850870, 1850955): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1850956, 1851041): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1851128, 1851213): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1851214, 1851299): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1851386, 1851471): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1851300, 1851385): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1851472, 1851557): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1851558, 1851643): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1851730, 1851815): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1851816, 1851901): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1851902, 1851987): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1851988, 1852073): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1852074, 1852159): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1852246, 1852331): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1852160, 1852245): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1852418, 1852503): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1852332, 1852417): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1852590, 1852675): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1852934, 1853019): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1853106, 1853191): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1853192, 1853277): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1853278, 1853363): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1853450, 1853535): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1853708, 1853793): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1853794, 1853879): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1853880, 1853965): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1853966, 1854051): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1854138, 1854223): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
[ERR] Failed to insert documents to DB (1854482, 1854567): Kind: An invalid argument was provided: No documents provided to insert_many, labels: {}
